filepath,modified_date
about.html,1689665530.062644
android-chrome-192x192.png,1685707734.0
android-chrome-512x512.png,1685707734.0
apple-touch-icon.png,1685707734.0
blog.html,1689667455.686443
browserconfig.xml,1685707734.0
code.css,1688883220.6596005
code.html,1688883354.4925764
favicon-16x16.png,1685707735.0
favicon-32x32.png,1685707735.0
favicon.ico,1685707736.0
feeds.html,1689665974.4732282
games.html,1688883338.0667484
gamesFilter.css,1680168382.3991628
index.html,1689682716.481692
mdreader.html,1685707835.2031705
mstile-150x150.png,1685707736.0
safari-pinned-tab.svg,1685707736.0
site.webmanifest,1685707736.0
style.css,1689667720.6626413
videos.html,1688882785.3638647
certs\git-github-bootcamp.pdf,1682580590.933858
comics\img\comic1.png,1688417528.8045256
comics\img\comic10.png,1689682567.406541
comics\img\comic2.png,1688471591.7728229
comics\img\comic3.png,1688487046.5556307
comics\img\comic4.png,1688624592.849397
comics\img\comic5.png,1688633366.3526847
comics\img\comic6.png,1688649046.0958781
comics\img\comic7.png,1688826042.625615
comics\img\comic8.png,1688909282.3472826
comics\img\comic9.png,1689238822.7431352
comics\navigation\first.png,1688478901.8279192
comics\navigation\last.png,1688479004.668371
comics\navigation\next.png,1688478973.537132
comics\navigation\previous.png,1688478940.2220616
comics\og\comic_1.png,1688409904.2265859
comics\og\comic_10.png,1689681355.0197847
comics\og\comic_2.png,1688471389.1204958
comics\og\comic_3.png,1688484023.1128657
comics\og\comic_4.png,1688622619.3106322
comics\og\comic_5.png,1688631979.8361864
comics\og\comic_6.png,1688648281.0883403
comics\og\comic_7.png,1688825420.1972287
comics\og\comic_8.png,1688908848.891892
comics\og\comic_9.png,1689238722.8360517
comics\pages\comic_1.html,1689682716.4706912
comics\pages\comic_10.html,1689682716.4796934
comics\pages\comic_2.html,1689682716.471692
comics\pages\comic_3.html,1689682716.472695
comics\pages\comic_4.html,1689682716.4736922
comics\pages\comic_5.html,1689682716.4746916
comics\pages\comic_6.html,1689682716.4746916
comics\pages\comic_7.html,1689682716.4756913
comics\pages\comic_8.html,1689682716.4766912
comics\pages\comic_9.html,1689682716.477692
images\lightSwitch.png,1677084953.554008
images\blog\2023\banana.png,1684937294.7193005
images\blog\2023\chao_w1.jpg,1687265395.044933
images\blog\2023\chin.jpg,1380298314.0
images\blog\2023\hu.png,1687265862.7817109
images\blog\2023\rss.png,1689666704.3464692
images\blog\2023\stairs.png,1686063074.946569
images\blog\2023\stumbleUpon.png,1681733716.666023
images\games\acidTrip.png,1677312985.399555
images\games\aRelaxingTypingGame.png,1677312623.8323474
images\games\badControlGame.png,1677313555.9389615
images\games\ballDudeAdventures.png,1677314484.2379472
images\games\ballDudeAdventuresToo.png,1677342346.384379
images\games\beer.png,1677342492.3350322
images\games\benWasAssimilated.png,1677342814.7437925
images\games\boardHunting.png,1677343021.7697358
images\games\broken.png,1677687401.5383086
images\games\carrotHell.png,1677343227.348585
images\games\catInSpace.png,1677343406.8826385
images\games\cucumberRacing.png,1677684038.5134835
images\games\edgar.png,1677684810.8168542
images\games\fallGuys.png,1677684322.2587302
images\games\friends.png,1677684571.647861
images\games\imposter.png,1677684694.035859
images\games\justin.png,1677684963.3446102
images\games\life.png,1677685039.669037
images\games\monotony.png,1679648413.8751738
images\games\otherminds.png,1675361916.375029
images\games\remembermary.png,1675361938.0484226
images\games\silentbill.png,1675361930.4694421
images\games\silentBillJam.png,1677686041.2959728
images\games\stevie.png,1677686284.3035483
images\games\tennisTower.png,1677686498.411997
images\games\trapped.png,1677686969.9841702
images\games\trash.png,1677687218.0657454
images\games\ulysses.png,1677687285.4144206
images\games\veryGood.png,1677685219.0808706
rss\blog_feed.xml,1689667269.866888
rss\comic_feed.xml,1689682732.752366
txt\blog\2023\April\bananas.html,1689244631.6558766
txt\blog\2023\April\bananas.md,1687186219.1321216
txt\blog\2023\February\stumbleupon.html,1689244631.6618774
txt\blog\2023\February\stumbleupon.md,1686202473.0052984
txt\blog\2023\July\onrss.html,1689667455.6854403
txt\blog\2023\July\onrss.md,1689666737.8829985
txt\blog\2023\June\alcoholism.html,1689244631.6708808
txt\blog\2023\June\alcoholism.md,1687186217.3359714
txt\blog\2023\June\oldwebsites.html,1689244631.680882
txt\blog\2023\June\oldwebsites.md,1687267707.5707138
